,Year,Month,Day,Tsu,Eq,Name,Location,Country,Latitude,Longitude,Elevation_m,Type,Eruption,VEI,Agent,Deaths,DeathDescription,Missing,MissingDescription,Injuries,InjuriesDescription,DamageMil,DamageDescription,HousesDestroyed,HousesDestroyedDescription,TotalDeaths,TotalDeathDescription,TotalMissing,TotalMissingDescription,TotalInjuries,TotalInjuriesDescription,TotalDamageMil,TotalDamageDescription,TotalHousesDestroyed,TotalHousesDestroyedDescription,in_ring_of_fire
436,1926,9,8,,,Tokachidake,Hokkaido-Japan,Japan,43.418,142.686,2077,Stratovolcano,true,3,,,,2,1,,,,,,,,,2,1,,,,,,,true
438,1928,1,,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,true,3,P,,1,,,,,,,,,,1,,,,,,,,,true
443,1929,1,6,,,Calbuco,Chile-S,Chile,-41.33,-72.618,1974,Stratovolcano,true,3,,,,,,,,,,,,,,,,,,,,,,true
444,1929,6,17,,,Hokkaido-Komagatake,Hokkaido-Japan,Japan,42.063,140.677,1131,Stratovolcano,true,4,T,2,1,,,4,1,,,1915,4,2,1,,,4,1,,,1915,4,true
446,1929,11,2,,,"Santa Maria",Guatemala,Guatemala,14.757,-91.552,3745,Stratovolcano,true,3,"P,M",200,3,,,,,,,,,200,3,,,,,,,,,true
448,1930,8,20,,,Asamayama,Honshu-Japan,Japan,36.406,138.523,2568,"Complex volcano",true,3,T,6,1,,,,,,,,,6,1,,,,,,,,,true
451,1931,8,20,,,Asamayama,Honshu-Japan,Japan,36.406,138.523,2568,"Complex volcano",true,3,,3,1,,,,,,,,,3,1,,,,,,,,,true
452,1932,1,21,,,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,true,4,,,1,,,,,,,,,,1,,,,,,,,,true
453,1932,10,1,,,Kusatsu-Shiranesan,Honshu-Japan,Japan,36.618,138.528,2165,Stratovolcano,true,3,M,2,1,,,7,1,,,,,2,1,,,7,1,,,,,true
455,1933,12,24,,,Kuchinoerabujima,"Ryukyu Is",Japan,30.443,130.217,657,Stratovolcano,true,4,T,8,1,,,26,1,,,,,8,1,,,26,1,,,,,true
456,1933,12,25,1666,,Bulusan,Luzon-Philippines,Philippines,12.769,124.056,1535,Stratovolcano,true,2,,,,,,,,,,,,9,1,,,,,,3,,,true
457,1936,7,29,,,Asamayama,Honshu-Japan,Japan,36.406,138.523,2568,"Complex volcano",true,3,"P,T",2,1,,,,,,,,,2,1,,,,,,,,,true
461,1938,6,5,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,true,2,,,1,,,,,,,,,,1,,,,,,,,,true
462,1938,7,16,,,Asamayama,Honshu-Japan,Japan,36.406,138.523,2568,"Complex volcano",true,1,T,,1,,,,,,,,,,1,,,,,,,,,true
464,1939,8,17,,,Izu-Torishima,"Izu Is-Japan",Japan,30.484,140.303,394,Stratovolcano,true,2,,2,1,,,,,,,,,2,1,,,,,,,,,true
466,1940,6,20,,,Karangetang,"Sangihe Is-Indonesia",Indonesia,2.781,125.407,1797,Stratovolcano,true,2,,1,1,,,2,1,,,,,1,1,,,2,1,,,,,true
467,1940,7,12,,,Miyakejima,"Izu Is-Japan",Japan,34.094,139.526,775,Stratovolcano,true,2,L,11,1,,,20,1,,,24,1,11,1,,,20,1,,,24,1,true
469,1941,7,13,,,Asamayama,Honshu-Japan,Japan,36.406,138.523,2568,"Complex volcano",true,2,T,1,1,,,1,1,,,,,1,1,,,1,1,,,,,true
471,1943,2,20,,,Michoacan-Guanajuato,Mexico,Mexico,19.85,-101.75,3860,"Cinder cone",true,4,"E,I",3,1,,,,,,,,,103,1,,,,,,,,,true
475,1944,7,11,,,Toya,Hokkaido-Japan,Japan,42.544,140.839,733,Stratovolcano,true,,P,1,1,,,,,,,,,1,1,,,,,,,,,true
477,1944,8,26,,,Toya,Hokkaido-Japan,Japan,42.544,140.839,733,Stratovolcano,true,2,G,1,1,,,,,,,1,1,1,1,,,,,,,1,1,true
479,1944,12,28,,,Toya,Hokkaido-Japan,Japan,42.544,140.839,733,Stratovolcano,true,2,T,1,1,,,,,,,,,1,1,,,,,,,,,true
480,1946,1,,,,Aira,Kyushu-Japan,Japan,31.577,130.659,1117,Stratovolcano,true,2,,1,1,,,,,,,,,1,1,,,,,,,,,true
484,1947,1,7,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,true,2,,,1,,,,,,,,,,1,,,,,,,,,true
485,1947,8,14,,,Asamayama,Honshu-Japan,Japan,36.406,138.523,2568,"Complex volcano",true,2,,11,1,,,,,,,,,11,1,,,,,,,,,true
489,1949,5,26,,,Purace,Colombia,Colombia,2.32,-76.4,4650,Stratovolcano,true,2,T,17,1,,,,,,,,,17,1,,,,,,,,,true
490,1949,6,,,,Camiguin,Mindanao-Philippines,Philippines,9.203,124.673,1552,Stratovolcano,true,3,P,2,1,,,,,,,,,2,1,,,,,,,,,true
492,1950,9,15,,,Camiguin,Mindanao-Philippines,Philippines,9.203,124.673,1552,Stratovolcano,true,3,P,68,2,,,,,,,,,68,2,,,,,,,,,true
493,1950,9,23,,,Asamayama,Honshu-Japan,Japan,36.406,138.523,2568,"Complex volcano",true,2,T,1,1,,,1,1,,,,1,1,1,,,1,1,,,,1,true
495,1951,8,3,3383,3974,Cosiguina,Nicaragua,Nicaragua,12.98,-87.57,872,Stratovolcano,true,,,,,,,,,,,,,,,,,,,,3,,2,true
497,1951,12,4,,,Camiguin,Mindanao-Philippines,Philippines,9.203,124.673,1552,Stratovolcano,true,3,P,500,3,1500,4,,,,,,,500,3,1500,4,,,,,,,true
499,1952,9,16,1824,,Myojinsho,"Izu Is-Japan",Japan,31.888,139.918,11,"Submarine volcano",true,2,,,,,,,,,,,,,,,,,,,,,,true
500,1952,9,17,5928,,Myojinsho,"Izu Is-Japan",Japan,31.888,139.918,11,"Submarine volcano",true,2,,,,,,,,,,,,,,,,,,,,,,true
501,1952,9,23,1825,,Myojinsho,"Izu Is-Japan",Japan,31.888,139.918,11,"Submarine volcano",true,2,,,,,,,,,,,,,,,,,,,,,,true
502,1952,9,24,1826,,Myojinsho,"Izu Is-Japan",Japan,31.888,139.918,11,"Submarine volcano",true,2,P,31,1,,,,,,1,,,31,1,,,,,,1,,,true
503,1952,9,26,1827,,Myojinsho,"Izu Is-Japan",Japan,31.888,139.918,11,"Submarine volcano",true,2,,,,,,,,,,,,,,,,,,,,,,true
504,1952,,,,,"Ambalatungan Group",Luzon-Philippines,Philippines,17.32,121.1,2329,"Compound volcano",true,1,,12,1,,,,,,,,,12,1,,,,,,,,,true
505,1953,3,11,1833,,Myojinsho,"Izu Is-Japan",Japan,31.888,139.918,11,"Submarine volcano",true,2,,,,,,,,,,,,,,,,,,,,,,true
506,1953,3,25,5566,,Myojinsho,"Izu Is-Japan",Japan,31.888,139.918,11,"Submarine volcano",true,2,,,,,,,,,,,,,,,,,,,,,,true
507,1953,4,27,,,Asosan,Kyushu-Japan,Japan,32.885,131.085,1592,Caldera,true,2,T,6,1,,,,,,,,,6,1,,,,,,,,,true
508,1953,6,27,1838,,"St. Andrew Strait","Admiralty Is-SW Paci","Papua New Guinea",-2.38,147.35,270,"Complex volcano",true,0,,,,,,,,,,,,,,,,,,,1,,,true
510,1953,10,5,,,Izu-Oshima,"Izu Is-Japan",Japan,34.724,139.394,746,Stratovolcano,true,1,,1,1,,,,,,,,,1,1,,,,,,,,,true
514,1954,,,,,Camiguin,Mindanao-Philippines,Philippines,9.203,124.673,1552,Stratovolcano,true,,m,2,1,,,,,,,,,2,1,,,,,,,,,true
515,1955,7,26,,,"Carran-Los Venados",Chile-C,Chile,-40.35,-72.07,1114,"Pyroclastic cone",true,4,G,2,1,,,,,,,,,2,1,,,,,,,,,true
516,1955,10,13,,,Aira,Kyushu-Japan,Japan,31.577,130.659,1117,Stratovolcano,true,3,,,1,,,,,,,,,,1,,,,,,,,,true
519,1957,7,,,,Unzendake,Kyushu-Japan,Japan,32.761,130.299,1483,"Complex volcano",true,,m,13,1,,,,,,,,,13,1,,,,,,,,,true
520,1957,10,13,,,Izu-Oshima,"Izu Is-Japan",Japan,34.724,139.394,746,Stratovolcano,true,2,T,1,1,,,53,2,,,,,1,1,,,53,2,,,,,true
521,1957,10,,,,Asosan,Kyushu-Japan,Japan,32.885,131.085,1592,Caldera,true,2,T,12,1,,,,,,,,,12,1,,,,,,,,,true
522,1958,7,12,,,Mahawu,Sulawesi-Indonesia,Indonesia,1.352,124.865,1299,Stratovolcano,true,2,M,1,1,,,10,1,,,,,1,1,,,10,1,,,,,true
524,1960,5,25,1902,4227,"Puyehue-Cordon Caulle",Chile-C,Chile,-40.59,-72.117,2236,Stratovolcano,true,3,,,,,,,,,,,,,,,,,,,,,,true
525,1961,1,25,,,Calbuco,Chile-S,Chile,-41.33,-72.618,1974,Stratovolcano,true,3,,,,,,,,,1,,,,,,,,,,,,,true
527,1961,8,18,,,Asamayama,Honshu-Japan,Japan,36.406,138.523,2568,"Complex volcano",true,2,T,1,1,,,,,,,,,1,1,,,,,,,,,true
528,1962,6,29,,,Tokachidake,Hokkaido-Japan,Japan,43.418,142.686,2077,Stratovolcano,true,3,T,5,1,,,11,1,,,,,5,1,,,11,1,,,,,true
529,1962,12,31,,,Gamalama,Halmahera-Indonesia,Indonesia,0.81,127.332,1714,Stratovolcano,true,2,,5,1,,,5,1,,,,,5,1,,,5,1,,,,,true
530,1963,3,17,,,Irazu,"Costa Rica","Costa Rica",9.979,-83.852,3436,Stratovolcano,true,3,T,15,1,,,,,,,,,15,1,,,,,,,,,true
536,1963,9,28,,,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,true,3,M,7,1,,,,,,,,,7,1,,,,,,,,,true
537,1963,12,10,,,Irazu,"Costa Rica","Costa Rica",9.979,-83.852,3436,Stratovolcano,true,3,"M,T",40,1,,,,1,,2,400,3,40,1,,,,1,,2,400,3,true
541,1965,9,28,1977,,Taal,Luzon-Philippines,Philippines,14.011,120.998,311,Stratovolcano,true,4,"P,W",355,3,,,,,,1,,1,355,3,,,,,,1,,1,true
545,1966,8,12,,,Awu,"Sangihe Is-Indonesia",Indonesia,3.689,125.447,1318,Stratovolcano,true,4,"P,M,I",39,1,,,1000,3,,,,2,39,1,,,1000,3,,,,2,true
547,1966,11,6,,,"Rincon de la Vieja","Costa Rica","Costa Rica",10.83,-85.324,1916,"Complex volcano",true,3,"P,T,G",,,,,,,,1,,,,,,,,,,1,,,true
551,1968,4,21,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,true,3,"M,P",6,1,,,,,,,,,6,1,,,,,,,,,true
552,1968,7,29,,,Arenal,"Costa Rica","Costa Rica",10.463,-84.703,1670,Stratovolcano,true,3,"P,T",80,2,,,,,,1,,,80,2,,,,,,1,,,true
555,1969,3,21,2872,,Didicas,"Luzon-N of",Philippines,19.077,122.202,228,"Compound volcano",true,2,W,,,,,,,,,,,3,1,,,,,,,,,true
559,1971,9,14,,,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,true,3,"M,T",10,1,,,,,,,,,10,1,,,,,,,,,true
568,1974,2,11,,,Karangetang,"Sangihe Is-Indonesia",Indonesia,2.781,125.407,1797,Stratovolcano,true,3,A,4,1,,,,,,,,,4,1,,,,,,,,,true
569,1974,6,17,,,Aira,Kyushu-Japan,Japan,31.577,130.659,1117,Stratovolcano,true,3,M,3,1,,,,,,,,,3,1,,,,,,,,,true
570,1974,7,28,,,Niigata-Yakeyama,Honshu-Japan,Japan,36.921,138.036,2400,"Lava dome",true,2,T,3,1,,,,,,,,,3,1,,,,,,,,,true
571,1974,8,9,,,Aira,Kyushu-Japan,Japan,31.577,130.659,1117,Stratovolcano,true,3,M,5,1,,,,,,,,,5,1,,,,,,,,,true
572,1974,10,10,,,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,true,4,"T,M",,1,,,,,,2,,3,,1,,,,,,2,,3,true
575,1975,1,,,,Marapi,Sumatra,Indonesia,-0.38,100.474,2885,"Complex volcano",true,2,M,80,2,,,,,,3,,3,80,2,,,,,,3,,3,true
576,1975,6,17,,,Arenal,"Costa Rica","Costa Rica",10.463,-84.703,1670,Stratovolcano,true,3,,2,1,,,,1,,,,,2,1,,,,1,,,,,true
578,1976,8,12,,,Sangay,Ecuador,Ecuador,-2.005,-78.341,5286,Stratovolcano,true,3,T,2,1,,,4,1,,,,,2,1,,,4,1,,,,,true
580,1976,9,15,,,Karangetang,"Sangihe Is-Indonesia",Indonesia,2.781,125.407,1797,Stratovolcano,true,2,"P,L",1,1,,,1,1,,,24,1,1,1,,,1,1,,,24,1,true
586,1977,8,7,,,Toya,Hokkaido-Japan,Japan,42.544,140.839,733,Stratovolcano,true,3,I,3,1,,,,,,,,,3,1,,,,,,,,,true
587,1978,7,29,,,Bulusan,Luzon-Philippines,Philippines,12.769,124.056,1535,Stratovolcano,true,2,,,,,,,,,1,,,,,,,,,,1,,,true
588,1978,9,2,,,"Santa Maria",Guatemala,Guatemala,14.757,-91.552,3745,Stratovolcano,true,3,M,1,1,,,,,,,,,1,1,,,,,,,,,true
590,1978,10,24,,,Toya,Hokkaido-Japan,Japan,42.544,140.839,733,Stratovolcano,true,3,m,3,1,,,2,1,,,,,3,1,,,2,1,,,,,true
594,1979,4,30,,,Marapi,Sumatra,Indonesia,-0.38,100.474,2885,"Complex volcano",true,2,M,80,2,,,,,,,,,80,2,,,,,,,,,true
595,1979,9,6,,,Asosan,Kyushu-Japan,Japan,32.885,131.085,1592,Caldera,true,2,T,3,1,,,11,1,,,,,3,1,,,11,1,,,,,true
597,1980,5,18,3018,4876,"St. Helens",US-Washington,"United States",46.2,-122.18,2549,Stratovolcano,true,5,"P,M,T",57,2,,,,,2000.0,4,,,61,2,,,,,2000.0,4,,,true
606,1982,3,29,,7221,"Chichon, El",Mexico,Mexico,17.36,-93.23,1150,"Tuff cone",true,5,"P,T,M,S",1879,4,1755,4,,,3.3,2,,,1879,4,1755,4,,,3.3,2,,,true
607,1982,4,4,,,"Chichon, El",Mexico,Mexico,17.36,-93.23,1150,"Tuff cone",true,5,P,33,1,,,,,,,,,33,1,,,,,,,,,true
609,1982,5,27,,,"Chichon, El",Mexico,Mexico,17.36,-93.23,1150,"Tuff cone",true,5,m,1,1,,,,,,,,,1,1,,,,,,,,,true
611,1983,7,23,,,Colo,Sulawesi-Indonesia,Indonesia,-0.162,121.601,404,Stratovolcano,true,4,,,,,,,,,2,,3,,,,,,,,2,,3,true
613,1983,10,3,,4990,Miyakejima,"Izu Is-Japan",Japan,34.094,139.526,775,Stratovolcano,true,3,"L,T",,,,,,,,1,400,3,,,,,,,,2,400,3,true
614,1984,9,9,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,true,3,M,1,1,,,,,,,,,1,1,,,,,,,,,true
617,1985,11,13,,,"Ruiz, Nevado del",Colombia,Colombia,4.892,-75.324,5279,Stratovolcano,true,3,M,23080,4,,,10000,4,,,,,23080,4,,,10000,4,,,,,true
621,1986,11,15,,,Izu-Oshima,"Izu Is-Japan",Japan,34.724,139.394,746,Stratovolcano,true,3,I,1,1,,,,,,,,,1,1,,,,,,,,,true
623,1987,1,25,,,Pacaya,Guatemala,Guatemala,14.382,-90.601,2569,"Complex volcano",true,3,,,,,,15,1,,1,63,2,,,,,15,1,,1,63,2,true
627,1988,7,6,,,Arenal,"Costa Rica","Costa Rica",10.463,-84.703,1670,Stratovolcano,true,3,T,1,1,,,,,,,,,1,1,,,,,,,,,true
632,1990,3,26,,,Asosan,Kyushu-Japan,Japan,32.885,131.085,1592,Caldera,true,2,G,1,1,,,,,,,,,1,1,,,,,,,,,true
633,1990,4,18,,,Asosan,Kyushu-Japan,Japan,32.885,131.085,1592,Caldera,true,2,G,1,1,,,,,,,,,1,1,,,,,,,,,true
635,1990,7,19,,,"Santa Maria",Guatemala,Guatemala,14.757,-91.552,3745,Stratovolcano,true,3,T,4,1,,,,,,,,,4,1,,,,,,,,,true
636,1990,10,19,,,Asosan,Kyushu-Japan,Japan,32.885,131.085,1592,Caldera,true,2,G,1,1,,,,,,,,,1,1,,,,,,,,,true
637,1991,6,3,,,Unzendake,Kyushu-Japan,Japan,32.761,130.299,1483,"Complex volcano",true,1,P,43,1,,,,,,,,,43,1,,,,,,,,,true
638,1991,6,15,,5292,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,true,6,"P,m,I",350,3,,,4,1,,3,,,800,3,,,4,1,,3,,,true
641,1991,10,24,,,Lokon-Empung,Sulawesi-Indonesia,Indonesia,1.358,124.792,1580,Stratovolcano,true,1,"T,P",1,1,,,,,,,,,1,1,,,,,,,,,true
643,1992,1,21,,,Karangetang,"Sangihe Is-Indonesia",Indonesia,2.781,125.407,1797,Stratovolcano,true,2,M,2,1,,,,,,,,,2,1,,,,,,,,,true
644,1992,4,10,,,"Negro, Cerro",Nicaragua,Nicaragua,12.506,-86.702,728,"Cinder cone",true,3,"T,I",11,1,,,50,1,3.0,2,,1,11,1,,,50,1,3.0,2,,1,true
645,1992,5,11,,,Karangetang,"Sangihe Is-Indonesia",Indonesia,2.781,125.407,1797,Stratovolcano,true,1,P,6,1,,,1,1,,,,,6,1,,,1,1,,,,,true
646,1992,7,5,,,Marapi,Sumatra,Indonesia,-0.38,100.474,2885,"Complex volcano",true,2,T,1,1,,,5,1,,,,,1,1,,,5,1,,,,,true
647,1992,7,12,,,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,true,1,m,6,1,,,,,,,,,6,1,,,,,,,,,true
648,1992,9,17,,,Spurr,Alaska-SW,"United States",61.299,-152.251,3374,Stratovolcano,true,4,I,1,1,,,,,2.0,2,,,1,1,,,,,2.0,2,,,true
650,1993,1,14,,,Galeras,Colombia,Colombia,1.22,-77.37,4276,"Complex volcano",true,2,T,9,1,,,,,,,,,9,1,,,,,,,,,true
651,1993,2,2,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,true,2,P,75,2,,,,,,,,,75,2,,,,,,,,,true
652,1993,3,12,,,"Guagua Pichincha",Ecuador,Ecuador,-0.171,-78.598,4784,Stratovolcano,true,1,T,2,1,,,,,,,,,2,1,,,,,,,,,true
655,1993,6,23,,,Unzendake,Kyushu-Japan,Japan,32.761,130.299,1483,"Complex volcano",true,1,P,1,1,,,,,,,,1,1,1,,,,,,,,1,true
656,1993,6,26,,,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,true,1,m,4,1,,,,,,,,,4,1,,,,,,,,,true
657,1993,10,4,,,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,true,,m,14,1,,,,,,,,,14,1,,,,,,,,,true
660,1994,5,29,,,Asosan,Kyushu-Japan,Japan,32.885,131.085,1592,Caldera,true,1,G,1,1,,,,,,,,,1,1,,,,,,,,,true
661,1994,6,6,,5387,"Huila, Nevado del",Colombia,Colombia,2.93,-76.03,5364,Stratovolcano,true,,m,,,,,,,,,,,650,3,,,,,2.4,2,200,3,true
667,1995,2,11,,,Yakedake,Honshu-Japan,Japan,36.227,137.587,2455,Stratovolcano,true,1,T,4,1,,,,,,,,,4,1,,,,,,,,,true
669,1995,4,7,,,Pacaya,Guatemala,Guatemala,14.382,-90.601,2569,"Complex volcano",true,3,M,1,1,,,,,,1,1,1,1,1,,,,,,1,1,1,true
671,1996,4,30,,,Popocatepetl,Mexico,Mexico,19.023,-98.622,5393,Stratovolcano,true,3,,5,1,,,,,,1,,,5,1,,,,,,1,,,true
672,1996,8,10,,,Kanlaon,Philippines-C,Philippines,10.41,123.13,2422,Stratovolcano,true,2,T,3,1,,,18,1,,,,,3,1,,,18,1,,,,,true
676,1997,4,17,,,Karangetang,"Sangihe Is-Indonesia",Indonesia,2.781,125.407,1797,Stratovolcano,true,1,P,3,1,,,,,,,,,3,1,,,,,,,,,true
683,1999,5,21,,,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,true,2,,,,,,,,,,,,,,,,,,,,,,true
685,1999,10,5,,,"Guagua Pichincha",Ecuador,Ecuador,-0.171,-78.598,4784,Stratovolcano,true,3,T,2,1,,,,,,,,,2,1,,,,,,,,,true
686,1999,10,16,,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,true,3,T,1,1,,,4,1,,,,,1,1,,,4,1,,,,,true
687,2000,6,27,2340,5568,Miyakejima,"Izu Is-Japan",Japan,34.094,139.526,775,Stratovolcano,true,2,,,,,,,,,1,,,1,1,,,,3,,1,,,true
689,2000,8,23,,,Arenal,"Costa Rica","Costa Rica",10.463,-84.703,1670,Stratovolcano,true,3,P,2,1,,,1,1,,,,,2,1,,,1,1,,,,,true
696,2002,1,3,,,Karangetang,"Sangihe Is-Indonesia",Indonesia,2.781,125.407,1797,Stratovolcano,true,3,M,,,,,,,,1,,1,,,,,,,,1,,1,true
699,2002,11,3,,,Reventador,Ecuador,Ecuador,-0.077,-77.656,3562,Stratovolcano,true,4,I,,1,,,,1,,1,,1,,1,,,,1,,1,,1,true
707,2005,10,1,,,"Santa Ana","El Salvador","El Salvador",13.853,-89.63,2381,Stratovolcano,true,3,A,2,1,,,,1,,,,,2,1,,,,1,,,,,true
711,2006,6,7,,,Bulusan,Luzon-Philippines,Philippines,12.769,124.056,1535,Stratovolcano,true,2,,1,1,,,,,,,,,1,1,,,,,,,,,true
713,2006,7,18,,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,true,3,,1,1,,,,,,,,,1,1,,,,,,,,,true
714,2006,8,17,,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,true,3,T,5,1,,2,13,1,,3,,3,6,1,,2,,2,,3,,3,true
715,2006,11,30,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,true,1,m,1266,4,,,,,,1,,,1266,4,,,,,,1,,,true
717,2007,4,18,,,"Huila, Nevado del",Colombia,Colombia,2.93,-76.03,5364,Stratovolcano,true,,,,,,,,,,2,,1,,,,,,,,2,,1,true
720,2008,5,2,,,Chaiten,Chile-S,Chile,-42.835,-72.651,1122,Caldera,true,,,1,1,,,,,,,,,1,1,,,,,,,,,true
722,2008,8,22,,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,true,3,M,2,1,,,2,1,,1,2,1,2,1,,,2,1,,1,2,1,true
723,2008,11,20,,,"Huila, Nevado del",Colombia,Colombia,2.93,-76.03,5364,Stratovolcano,true,,,10,1,,1,,1,,,,,10,1,,1,,1,,,,,true
724,2009,3,23,,,Redoubt,Alaska-SW,"United States",60.485,-152.742,3108,Stratovolcano,true,,,,,,,,,,1,,,,,,,,,,1,,,true
726,2010,1,,,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,true,3,,,,,,,,,1,,,,,,,,,,1,,,true
728,2010,5,27,,,Pacaya,Guatemala,Guatemala,14.382,-90.601,2569,"Complex volcano",true,1,T,1,1,3,1,,,,1,3,1,1,1,3,1,,,,1,3,1,true
730,2010,8,6,,,Karangetang,"Sangihe Is-Indonesia",Indonesia,2.781,125.407,1797,Stratovolcano,true,3,,4,1,,,5,1,,,,1,4,1,,,5,1,,,,1,true
731,2010,8,30,,,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,true,,,2,1,,,,,,,,,2,1,,,,,,,,,true
733,2010,11,,,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,true,3,,,,,,,,,1,,,,,,,,,,1,,,true
736,2011,1,28,,,Kirishimayama,Kyushu-Japan,Japan,31.934,130.862,1700,"Shield volcano",true,,,,,,,,1,,1,,,,,,,,1,,1,,,true
737,2011,2,23,,,Bulusan,Luzon-Philippines,Philippines,12.769,124.056,1535,Stratovolcano,true,2,,1,1,,,,,,,,,1,1,,,,,,,,,true
738,2011,3,18,,,Karangetang,"Sangihe Is-Indonesia",Indonesia,2.781,125.407,1797,Stratovolcano,true,,,,,,,,,,1,,,,,,,,,,1,,,true
739,2011,4,,,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,true,4,,,,,,,,,1,,,,,,,,,,1,,,true
740,2011,6,4,,,"Puyehue-Cordon Caulle",Chile-C,Chile,-40.59,-72.117,2236,Stratovolcano,true,4,,,,,,,,,2,,,,,,,,,,2,,,true
743,2011,7,17,,,Lokon-Empung,Sulawesi-Indonesia,Indonesia,1.358,124.792,1580,Stratovolcano,true,,,1,1,,,,,,,,,1,1,,,,,,,,,true
744,2011,12,27,,,Gamalama,Halmahera-Indonesia,Indonesia,0.81,127.332,1714,Stratovolcano,true,3,m,4,1,,,,1,,,,,4,1,,,,1,,,,,true
750,2013,5,7,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,true,,,5,1,,,8,1,,,,,5,1,,,8,1,,,,,true
753,2013,9,4,,,Aira,Kyushu-Japan,Japan,31.577,130.659,1117,Stratovolcano,true,,,,,,,,,,1,,,,,,,,,,1,,,true
754,2013,9,15,,,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,true,2,,,,,,,,,2,,,,,,,,,,2,,,true
755,2014,2,1,,,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,true,,,17,1,,,3,1,,1,,2,17,1,,,3,1,,1,,2,true
757,2014,9,27,,,Ontakesan,Honshu-Japan,Japan,35.893,137.48,3067,"Complex volcano",true,3,,55,2,,,70,2,,,,,55,2,,,70,2,,,,,true
760,2014,12,18,,,Gamalama,Halmahera-Indonesia,Indonesia,0.81,127.332,1714,Stratovolcano,true,,,1,1,,,4,1,,,,,1,1,,,4,1,,,,,true
761,2015,2,20,,,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,true,,,,,,,,,,1,,1,,,,,,,,1,,1,true
762,2015,4,22,,,Calbuco,Chile-S,Chile,-41.33,-72.618,1974,Stratovolcano,true,,,,,,,,,,2,,2,,,,,,,,2,,2,true
763,2015,5,7,,,Karangetang,"Sangihe Is-Indonesia",Indonesia,2.781,125.407,1797,Stratovolcano,true,,,,,,,,,,1,,1,,,,,,,,1,,1,true
765,2015,10,16,,,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,true,,M,1,1,,,,,,1,,,1,1,,,,,,1,,,true
766,2016,5,9,,,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,true,,,1,1,,,4,1,,1,3,1,1,1,,,4,1,,1,,,true
767,2016,5,21,,,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,true,,,7,1,,,3,1,100.0,4,,,7,1,,,3,1,100.0,4,,,true
770,2016,10,8,,,Asosan,Kyushu-Japan,Japan,32.885,131.085,1592,Caldera,true,,T,,,,,,,,1,,,,,,,,,,1,,,true
772,2017,4,13,,,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,true,2,P,,,,,,,,1,,2,,,,,,,,1,,2,true
773,2017,6,6,,,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,true,2,P,,,,,,,,2,,,,,,,,,,2,,,true
777,2017,12,27,,,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,true,,T,,,,,,,,2,,,,,,,,,,2,,,true
779,2018,1,13,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,true,2,"T,P",,,,,1972,4,3.564,2,,,,,,,1972,4,3.564,2,,,true
